"","time.seq","temp.int","wind.int","vapp.int","rh.int","pres.int","SR01Up","IR01UpCo","IR01DnCo","solar.int"
"1",2016-06-07 15:24:35,33.3,0.883333333333333,1.264,0.24708217255719,99.8,684.8,423.6,543.5,661.9
"2",2016-06-07 15:24:36,33.3,1.05,1.264,0.24708217255719,99.8,685.4,423.5,543.4,661.9
"3",2016-06-07 15:24:37,33.3,0.853333333333333,1.26266666666667,0.246821537354071,99.8,686.2,423.7,543.6,662.466666666667
"4",2016-06-07 15:24:38,33.3,0.656666666666667,1.26133333333333,0.246560902150951,99.8,686.9,423.7,543.6,663.033333333333
"5",2016-06-07 15:24:39,33.3,0.46,1.26,0.246300266947832,99.8,687.5,423.7,543.6,663.6
"6",2016-06-07 15:24:40,33.3,0.396666666666667,1.26,0.246300266947832,99.8,687.8,423.5,543.7,664.166666666667
"7",2016-06-07 15:24:41,33.3,0.333333333333333,1.26,0.246300266947832,99.8,688.1,423.6,543.8,664.733333333333
"8",2016-06-07 15:24:42,33.3,0.27,1.26,0.246300266947832,99.8,688.2,423.4,543.7,665.3
"9",2016-06-07 15:24:43,33.3,0.256666666666667,1.25833333333333,0.245974472943933,99.8,688.4,423.2,543.5,665.3
"10",2016-06-07 15:24:44,33.3,0.243333333333333,1.25666666666667,0.245648678940033,99.8,688.4,423.3,543.6,665.3
"11",2016-06-07 15:24:45,33.3,0.23,1.255,0.245322884936134,99.8,688.4,423.3,543.6,665.3
"12",2016-06-07 15:24:46,33.3,0.186666666666667,1.253,0.244931932131455,99.8,688.1,423.4,543.5,664.733333333333
"13",2016-06-07 15:24:47,33.3,0.143333333333333,1.251,0.244540979326776,99.8,688.1,423.5,543.6,664.166666666667
"14",2016-06-07 15:24:48,33.3,0.1,1.249,0.244150026522097,99.8,688,423.5,543.6,663.6
"15",2016-06-07 15:24:49,33.3,0.126666666666667,1.249,0.244150026522097,99.8,687.7,423.5,543.6,663.6
"16",2016-06-07 15:24:50,33.3,0.153333333333333,1.249,0.244150026522097,99.8,687.2,423.5,543.5,663.6
