"","time.seq","temp.int","wind.int","vapp.int","rh.int","pres.int","SR01Up","IR01UpCo","IR01DnCo","solar.int"
"1",2016-06-07 13:18:50,30.5,0.606666666666667,1.597,0.365829908030099,99.9,947,414.7,550.1,910
"2",2016-06-07 13:18:51,30.5,0.73,1.597,0.365829908030099,99.9,947,414.5,549.8,910
"3",2016-06-07 13:18:52,30.5,0.636666666666667,1.59866666666667,0.366211696704729,99.9,947,414.4,549.9,910
"4",2016-06-07 13:18:53,30.5,0.543333333333333,1.60033333333333,0.366593485379358,99.9,947,414.4,549.9,910
"5",2016-06-07 13:18:54,30.5,0.45,1.602,0.366975274053988,99.9,947,414.2,549.8,910
"6",2016-06-07 13:18:55,30.5,0.443333333333333,1.60433333333333,0.367509778198469,99.9,947,414.2,549.9,910
"7",2016-06-07 13:18:56,30.5,0.436666666666667,1.60666666666667,0.368044282342951,99.9,947,414.1,549.9,910
"8",2016-06-07 13:18:57,30.5,0.43,1.609,0.368578786487432,99.9,947,413.9,549.9,910
"9",2016-06-07 13:18:58,30.5333333333333,0.36,1.612,0.368561253090239,99.9,947,413.6,549.7,910
"10",2016-06-07 13:18:59,30.5666666666667,0.29,1.615,0.368543719693046,99.9,947,413.3,549.6,910
"11",2016-06-07 13:19:00,30.6,0.22,1.618,0.368526186295853,99.9,947,413.2,549.7,910
"12",2016-06-07 13:19:01,30.6,0.323333333333333,1.61833333333333,0.368602108460315,99.9,947,413.2,549.6,910
"13",2016-06-07 13:19:02,30.6,0.426666666666667,1.61866666666667,0.368678030624776,99.9,947,413,549.5,910
"14",2016-06-07 13:19:03,30.6,0.53,1.619,0.368753952789238,99.9,947,412.7,549.2,910
"15",2016-06-07 13:19:04,30.6,0.423333333333333,1.61833333333333,0.368602108460315,99.9,947,412.5,549.2,910
"16",2016-06-07 13:19:05,30.6,0.316666666666667,1.61766666666667,0.368450264131392,99.9,947,412.5,549.2,910
"17",2016-06-07 13:19:06,30.6,0.21,1.617,0.368298419802469,99.9,947,412.5,549.3,910
"18",2016-06-07 13:19:07,30.6,0.32,1.61033333333333,0.36677997651324,99.9,946,412.6,549.5,910
"19",2016-06-07 13:19:08,30.6,0.43,1.60366666666667,0.365261533224011,99.9,946,412.6,549.4,910
"20",2016-06-07 13:19:09,30.6,0.54,1.597,0.363743089934782,99.9,946,412.8,549.5,910
"21",2016-06-07 13:19:10,30.6,0.566666666666667,1.59466666666667,0.363211634783552,99.9,946,412.9,549.5,910
"22",2016-06-07 13:19:11,30.6,0.593333333333333,1.59233333333333,0.362680179632322,99.9,946,412.8,549.2,910
"23",2016-06-07 13:19:12,30.6,0.62,1.59,0.362148724481092,99.9,945,412.9,549.2,910
"24",2016-06-07 13:19:13,30.6,0.523333333333333,1.591,0.362376490974476,99.9,945,412.9,549.1,909.333333333333
"25",2016-06-07 13:19:14,30.6,0.426666666666667,1.592,0.362604257467861,99.9,945,413.1,549.2,908.666666666667
"26",2016-06-07 13:19:15,30.6,0.33,1.593,0.362832023961245,99.9,945,413.2,549.2,908
"27",2016-06-07 13:19:16,30.6,0.236666666666667,1.59266666666667,0.362756101796784,99.9,945,413.3,549.2,908
"28",2016-06-07 13:19:17,30.6,0.143333333333333,1.59233333333333,0.362680179632322,99.9,945,413.5,549.2,908
"29",2016-06-07 13:19:18,30.6,0.05,1.592,0.362604257467861,99.9,945,413.5,549.2,908
"30",2016-06-07 13:19:19,30.6,0.0933333333333333,1.586,0.361237658507555,99.9,945,413.5,549.2,908
"31",2016-06-07 13:19:20,30.6,0.136666666666667,1.58,0.359871059547249,99.9,944,413.7,549.3,908
"32",2016-06-07 13:19:21,30.6,0.18,1.574,0.358504460586943,99.9,944,413.7,549.4,908
"33",2016-06-07 13:19:22,30.6,0.3,1.57066666666667,0.357745238942328,99.9,944,414,549.6,908
"34",2016-06-07 13:19:23,30.6,0.42,1.56733333333333,0.356986017297714,99.9,944,414.1,549.5,908
"35",2016-06-07 13:19:24,30.6,0.54,1.564,0.356226795653099,99.9,944,414.1,549.5,908
"36",2016-06-07 13:19:25,30.6,0.78,1.565,0.356454562146484,99.9,944,414.5,549.9,907.333333333333
