"Seconds","AirT","gHa","Rabs","DLTemp","LTemp","Lwatts"
1,32.5,0.065472,1077,41.052,31.52,488.51
2,32.5,0.067769,1077.4,0,NA,NA
3,32.5,0.053858,1077.7,0,NA,NA
4,32.5,0.04604,1078.3,0,NA,NA
5,32.5,0.040867,1078.8,0,NA,NA
6,32.5,0.038373,1079.6,0,NA,NA
7,32.5,0.036286,1080.1,0,NA,NA
8,32.5,0.034507,1080.5,0,NA,NA
9,32.5,0.037319,1080.8,0,NA,NA
10,32.5,0.040955,1081.2,0,NA,NA
11,32.5,0.045914,1081,0,NA,NA
12,32.533,0.048951,1080.6,0,NA,NA
13,32.567,0.052682,1079.8,0,NA,NA
14,32.6,0.057422,1079,0,NA,NA
15,32.567,0.066591,1078.6,0,NA,NA
16,32.533,0.082269,1078.5,43.095,32.955,497.79
17,32.5,0.11953,1078.7,0,NA,NA
18,32.533,0.10076,1078.6,0,NA,NA
19,32.567,0.088731,1078.5,0,NA,NA
20,32.6,0.080186,1078.2,0,NA,NA
21,32.6,0.07704,1077.6,0,NA,NA
22,32.6,0.074238,1076.8,0,NA,NA
23,32.6,0.07172,1075.9,0,NA,NA
24,32.6,0.065838,1074.7,0,NA,NA
25,32.6,0.061201,1073.7,0,NA,NA
26,32.6,0.057422,1072.9,0,NA,NA
27,32.6,0.057919,1072.1,0,NA,NA
28,32.6,0.05843,1072,0,NA,NA
29,32.6,0.058954,1071.8,0,NA,NA
30,32.6,0.057178,1071,0,NA,NA
31,32.6,0.055554,1069.7,44.099,33.645,502.29
32,32.6,0.054061,1068.8,0,NA,NA
33,32.6,0.056938,1068.2,0,NA,NA
34,32.6,0.060328,1067.4,0,NA,NA
35,32.6,0.064407,1066.4,0,NA,NA
36,32.6,0.049889,1065.5,0,NA,NA
37,32.6,0.042164,1064.6,0,NA,NA
38,32.6,0.037185,1063,0,NA,NA
39,32.6,0.035624,1061.5,0,NA,NA
40,32.6,0.034243,1059.9,0,NA,NA
41,32.6,0.033012,1058.4,0,NA,NA
42,32.6,0.036536,1057,0,NA,NA
43,32.6,0.0415,1055.6,0,NA,NA
44,32.6,0.049258,1054.4,0,NA,NA
45,32.6,0.047223,1053,0,NA,NA
46,32.6,0.045421,1051.8,44.81,33.616,502.1
47,32.6,0.04381,1051,0,NA,NA
48,32.6,0.040177,1050.4,0,NA,NA
49,32.6,0.037319,1050.1,0,NA,NA
50,32.6,0.034996,1049.7,0,NA,NA
51,32.6,0.039521,1049,0,NA,NA
52,32.6,0.046424,1048.4,0,NA,NA
53,32.6,0.058954,1047.5,0,NA,NA
54,32.6,0.059221,1047,0,NA,NA
55,32.6,0.059492,1046.6,0,NA,NA
56,32.6,0.059767,1046.6,0,NA,NA
57,32.6,0.066591,1046.6,0,NA,NA
58,32.6,0.076454,1046.9,0,NA,NA
59,32.6,0.092591,1047.1,0,NA,NA
60,32.6,0.073713,1047.2,0,NA,NA
61,32.6,0.063065,1047.3,45.075,33.55,501.67
62,32.6,0.056004,1047.6,0,NA,NA
63,32.6,0.056004,1048.3,0,NA,NA
64,32.6,0.056004,1049.2,0,NA,NA
65,32.6,0.056004,1050,0,NA,NA
66,32.6,0.057669,1050.8,0,NA,NA
67,32.6,0.059492,1051.2,0,NA,NA
68,32.6,0.0615,1051.6,0,NA,NA
69,32.6,0.059767,1052.1,0,NA,NA
70,32.6,0.058173,1052,0,NA,NA
71,32.6,0.0567,1052,0,NA,NA
72,32.6,0.057422,1051.5,0,NA,NA
73,32.6,0.058173,1050.8,0,NA,NA
74,32.6,0.058954,1049.7,0,NA,NA
75,32.6,0.05176,1049.1,0,NA,NA
76,32.6,0.046686,1048.5,45.308,33.494,501.3
77,32.6,0.042861,1048,0,NA,NA
78,32.6,0.043067,1047.5,0,NA,NA
79,32.6,0.043275,1046.9,0,NA,NA
80,32.6,0.043487,1046.3,0,NA,NA
81,32.6,0.040517,1045.3,0,NA,NA
82,32.6,0.038083,1044.2,0,NA,NA
83,32.6,0.036041,1043,0,NA,NA
84,32.6,0.036348,1041.6,0,NA,NA
85,32.6,0.036663,1040.3,0,NA,NA
86,32.6,0.036987,1039.3,0,NA,NA
87,32.6,0.039601,1038.4,0,NA,NA
88,32.6,0.042861,1037.9,0,NA,NA
89,32.6,0.047087,1037.6,0,NA,NA
90,32.6,0.048501,1036.9,0,NA,NA
91,32.6,0.050051,1036.7,44.968,33.54,501.6
92,32.6,0.05176,1036.5,0,NA,NA
93,32.6,0.050214,1036.4,0,NA,NA
94,32.6,0.0488,1036.2,0,NA,NA
95,32.6,0.047498,1035.7,0,NA,NA
96,32.6,0.051229,1034.9,0,NA,NA
97,32.6,0.056004,1033.9,0,NA,NA
98,32.6,0.062425,1032.7,0,NA,NA
99,32.6,0.050214,1031.6,0,NA,NA
100,32.6,0.043171,1030.2,0,NA,NA
101,32.6,0.038446,1029.5,0,NA,NA
102,32.6,0.037387,1028.9,0,NA,NA
103,32.6,0.036411,1028.2,0,NA,NA
104,32.6,0.035507,1027.8,0,NA,NA
105,32.6,0.036411,1027.4,0,NA,NA
106,32.6,0.037387,1026.7,43.509,33.296,500.01
107,32.6,0.038446,1025.9,0,NA,NA
108,32.6,0.041593,1025,0,NA,NA
109,32.6,0.045665,1024.3,0,NA,NA
110,32.6,0.051229,1023.7,0,NA,NA
111,32.6,0.052123,1023.2,0,NA,NA
112,32.6,0.053066,1023.1,0,NA,NA
113,32.6,0.054061,1023.6,0,NA,NA
114,32.6,0.049104,1024.5,0,NA,NA
115,32.6,0.0453,1026.1,0,NA,NA
116,32.6,0.042262,1027.8,0,NA,NA
117,32.6,0.04403,1029.8,0,NA,NA
118,32.6,0.04604,1031.8,0,NA,NA
119,32.6,0.048354,1033.5,0,NA,NA
120,32.6,0.05326,1035.1,0,NA,NA
121,32.6,0.060046,1035.8,43.472,33.16,499.12
122,32.6,0.070328,1036.6,0,NA,NA
123,32.6,0.067769,1036.6,0,NA,NA
124,32.6,0.065472,1035.9,0,NA,NA
125,32.6,0.063393,1034.8,0,NA,NA
126,32.6,0.068176,1033.9,0,NA,NA
127,32.6,0.074238,1033,0,NA,NA
128,32.6,0.082269,1032.7,0,NA,NA
