"Seconds","AirT","gHa","Rabs","DLTemp","LTemp","Lwatts"
1,30.1,0.040691,1193.3,50.177,34.956,510.93
2,30.1,0.045543,1193.3,0,NA,NA
3,30.1,0.042262,1193.4,0,NA,NA
4,30.1,0.039601,1193.3,0,NA,NA
5,30.1,0.037387,1193.3,0,NA,NA
6,30.1,0.038227,1193.4,0,NA,NA
7,30.1,0.039127,1193.4,0,NA,NA
8,30.1,0.040093,1194.1,0,NA,NA
9,30.1,0.038972,1194,0,NA,NA
10,30.1,0.037941,1194,0,NA,NA
11,30.1,0.036987,1193.1,0,NA,NA
12,30.1,0.038446,1192.9,0,NA,NA
13,30.1,0.040093,1192.9,0,NA,NA
14,30.1,0.041971,1192,0,NA,NA
15,30.133,0.042558,1192.6,0,NA,NA
16,30.167,0.043171,1192.6,46.296,32.178,492.75
17,30.2,0.04381,1192.6,0,NA,NA
18,30.2,0.041408,1191.9,0,NA,NA
19,30.2,0.039362,1191.7,0,NA,NA
20,30.2,0.037592,1191.8,0,NA,NA
21,30.2,0.040431,1191.8,0,NA,NA
22,30.2,0.04403,1191.8,0,NA,NA
23,30.2,0.0488,1190.8,0,NA,NA
24,30.2,0.046555,1190.8,0,NA,NA
25,30.2,0.044594,1190.9,0,NA,NA
26,30.2,0.042861,1190.9,0,NA,NA
27,30.2,0.040867,1190.8,0,NA,NA
28,30.2,0.039127,1190.9,0,NA,NA
29,30.2,0.037592,1190.8,0,NA,NA
30,30.2,0.039283,1190.8,0,NA,NA
31,30.2,0.041225,1191,46.185,33.726,502.82
32,30.2,0.043487,1190,0,NA,NA
33,30.2,0.044366,1190.1,0,NA,NA
34,30.2,0.0453,1190.8,0,NA,NA
35,30.2,0.046295,1190.6,0,NA,NA
36,30.2,0.047638,1190.6,0,NA,NA
37,30.2,0.049104,1190.5,0,NA,NA
38,30.2,0.050714,1189.8,0,NA,NA
39,30.2,0.047087,1189.9,0,NA,NA
40,30.2,0.044141,1189.1,0,NA,NA
41,30.2,0.041687,1189.2,0,NA,NA
42,30.2,0.043381,1189.3,0,NA,NA
43,30.2,0.0453,1189.3,0,NA,NA
44,30.2,0.047498,1189.3,0,NA,NA
45,30.2,0.050884,1189.3,0,NA,NA
46,30.2,0.055115,1189.4,45.856,33.652,502.33
47,30.2,0.060615,1189.5,0,NA,NA
48,30.2,0.058173,1189.5,0,NA,NA
49,30.2,0.056004,1189.3,0,NA,NA
50,30.2,0.054061,1188.5,0,NA,NA
51,30.2,0.053858,1188.4,0,NA,NA
52,30.2,0.053656,1188.3,0,NA,NA
53,30.2,0.053457,1188.3,0,NA,NA
54,30.2,0.047223,1188.3,0,NA,NA
55,30.2,0.042759,1188.3,0,NA,NA
56,30.2,0.039362,1188.1,0,NA,NA
57,30.2,0.042964,1188.3,0,NA,NA
58,30.2,0.047778,1187.9,0,NA,NA
59,30.2,0.054686,1188.1,0,NA,NA
60,30.2,0.051581,1188,0,NA,NA
61,30.2,0.048951,1188.1,46.303,34.274,506.42
62,30.2,0.046686,1188,0,NA,NA
63,30.167,0.046818,1188.7,0,NA,NA
64,30.133,0.046952,1188.9,0,NA,NA
65,30.1,0.047087,1189.1,0,NA,NA
66,30.1,0.046555,1188.5,0,NA,NA
67,30.1,0.04604,1188.6,0,NA,NA
68,30.1,0.045543,1188.6,0,NA,NA
69,30.1,0.049413,1189,0,NA,NA
70,30.1,0.054476,1189.1,0,NA,NA
71,30.1,0.0615,1189,0,NA,NA
72,30.1,0.068176,1188.7,0,NA,NA
73,30.1,0.07764,1188.5,0,NA,NA
74,30.1,0.092591,1188.5,0,NA,NA
75,30.1,0.092591,1188.5,0,NA,NA
76,30.1,0.092591,1187.7,44.924,33.565,501.77
77,30.1,0.092591,1187.7,0,NA,NA
78,30.1,0.064756,1187.7,0,NA,NA
79,30.1,0.052682,1187.8,0,NA,NA
80,30.1,0.045543,1187.8,0,NA,NA
81,30.1,0.045421,1187.9,0,NA,NA
82,30.1,0.0453,1188.1,0,NA,NA
83,30.1,0.04518,1188,0,NA,NA
84,30.1,0.046686,1188.1,0,NA,NA
85,30.1,0.048354,1188,0,NA,NA
86,30.1,0.050214,1187.9,0,NA,NA
87,30.1,0.044942,1187.8,0,NA,NA
88,30.1,0.041045,1187.5,0,NA,NA
89,30.1,0.038012,1188.1,0,NA,NA
90,30.1,0.039521,1188.3,0,NA,NA
91,30.1,0.041225,1187.7,45.265,33.996,504.59
92,30.1,0.043171,1187.8,0,NA,NA
93,30.1,0.047778,1187.8,0,NA,NA
94,30.1,0.054267,1187.9,0,NA,NA
95,30.1,0.064407,1187.8,0,NA,NA
96,30.1,0.069013,1187.7,0,NA,NA
97,30.1,0.074774,1187.6,0,NA,NA
98,30.1,0.082269,1187.5,0,NA,NA
99,30.1,0.07704,1187.4,0,NA,NA
100,30.1,0.072696,1186.4,0,NA,NA
101,30.1,0.069013,1186.2,0,NA,NA
102,30.1,0.064756,1186.2,0,NA,NA
103,30.1,0.061201,1186.1,0,NA,NA
104,30.1,0.058173,1185.2,0,NA,NA
105,30.1,0.047638,1185.7,0,NA,NA
106,30.1,0.041316,1185.7,44.338,33.799,503.3
107,30.1,0.036987,1186.6,0,NA,NA
108,30.1,0.039682,1186.9,0,NA,NA
109,30.1,0.043067,1187.3,0,NA,NA
110,30.1,0.047498,1186.5,0,NA,NA
111,30.1,0.047498,1186.1,0,NA,NA
112,30.1,0.047498,1185.9,0,NA,NA
113,30.1,0.047498,1185.7,0,NA,NA
114,30.1,0.048208,1186.5,0,NA,NA
115,30.1,0.048951,1185.8,0,NA,NA
116,30.1,0.049729,1185.2,0,NA,NA
117,30.1,0.054476,1185,0,NA,NA
118,30.1,0.060906,1185.7,0,NA,NA
119,30.1,0.070328,1184.7,0,NA,NA
120,30.1,0.078253,1185.5,0,NA,NA
121,30.1,0.089651,1185.5,44.387,34.427,507.43
122,30.1,0.10812,1185.6,0,NA,NA
123,30.1,0.086133,1185.6,0,NA,NA
124,30.1,0.073713,1186.5,0,NA,NA
125,30.1,0.065472,1186.6,0,NA,NA
126,30.1,0.061803,1186.7,0,NA,NA
127,30.1,0.05869,1186.8,0,NA,NA
128,30.1,0.056004,1186.9,0,NA,NA
129,30.1,0.049413,1186.9,0,NA,NA
130,30.1,0.044709,1186.9,0,NA,NA
131,30.1,0.041135,1187.1,0,NA,NA
132,30.1,0.042164,1187.1,0,NA,NA
133,30.1,0.043275,1187,0,NA,NA
134,30.1,0.044479,1187.1,0,NA,NA
135,30.1,0.038669,1187,0,NA,NA
136,30.1,0.034667,1187.7,45.161,35.9,517.22
137,30.1,0.031696,1187,0,NA,NA
138,30.1,0.032965,1187.8,0,NA,NA
139,30.1,0.034401,1187.7,0,NA,NA
140,30.1,0.036041,1187.5,0,NA,NA
141,30.1,0.039927,1187.4,0,NA,NA
142,30.1,0.045421,1187.4,0,NA,NA
143,30.1,0.054061,1187.3,0,NA,NA
144,30.1,0.051404,1187.1,0,NA,NA
145,30.1,0.049104,1187.1,0,NA,NA
146,30.1,0.047087,1187,0,NA,NA
147,30.1,0.055334,1186.2,0,NA,NA
148,30.1,0.070328,1186.3,0,NA,NA
149,30.1,0.1134,1186.3,0,NA,NA
150,30.1,0.11738,1185.7,0,NA,NA
151,30.1,0.12181,1184.9,43.053,34.816,510
152,30.1,0.12679,1185,0,NA,NA
153,30.1,0.082269,1184.4,0,NA,NA
154,30.1,0.065472,1184.5,0,NA,NA
155,30.1,0.056004,1184.7,0,NA,NA
156,30.1,0.055778,1184.8,0,NA,NA
157,30.1,0.055554,1184.8,0,NA,NA
158,30.1,0.055334,1184.6,0,NA,NA
159,30.1,0.0615,1184.5,0,NA,NA
160,30.1,0.070328,1184.4,0,NA,NA
161,30.1,0.084523,1184.4,0,NA,NA
162,30.1,0.074774,1184.5,0,NA,NA
163,30.1,0.067769,1184.5,0,NA,NA
164,30.1,0.062425,1184.7,0,NA,NA
165,30.1,0.069881,1185,0,NA,NA
166,30.1,0.080863,1185.2,45.187,37.043,524.91
