"Seconds","AirT","gHa","Rabs","DLTemp","LTemp","Lwatts"
1,33.3,0.038155,994.27,42.349,31.326,487.27
2,33.3,0.034996,994.63,0,NA,NA
3,33.3,0.03882,995.42,0,NA,NA
4,33.3,0.044253,995.95,0,NA,NA
5,33.3,0.052873,996.4,0,NA,NA
6,33.3,0.056938,996.6,0,NA,NA
7,33.3,0.062112,996.92,0,NA,NA
8,33.3,0.069013,996.86,0,NA,NA
9,33.3,0.070783,996.82,0,NA,NA
10,33.3,0.072696,996.92,0,NA,NA
11,33.3,0.074774,996.92,0,NA,NA
12,33.3,0.083,996.67,0,NA,NA
13,33.3,0.09472,996.77,0,NA,NA
14,33.3,0.1134,996.69,0,NA,NA
15,33.3,0.10076,996.47,0,NA,NA
16,33.3,0.091579,996.04,43.34,31.74,489.93
17,33.3,0.084523,995.62,0,NA,NA
18,33.3,0.072696,995.12,0,NA,NA
19,33.3,0.064756,994.39,0,NA,NA
20,33.3,0.058954,993.4,0,NA,NA
21,33.3,0.060328,992.39,0,NA,NA
22,33.3,0.061803,991.7,0,NA,NA
23,33.3,0.063393,991.17,0,NA,NA
24,33.3,0.074238,991.04,0,NA,NA
25,33.3,0.093637,991.19,0,NA,NA
26,33.3,0.1464,991.51,0,NA,NA
27,33.3,0.045421,992.15,0,NA,NA
28,33.3,0.032919,992.6,0,NA,NA
29,33.3,0.027108,993.18,0,NA,NA
30,33.3,0.026557,993.57,0,NA,NA
31,33.3,0.026039,994.12,44.077,31.795,490.28
32,33.3,0.025549,994.91,0,NA,NA
33,33.3,0.03075,995.23,0,NA,NA
34,33.3,0.041408,995.59,0,NA,NA
35,33.3,0.09584,995.62,0,NA,NA
36,33.3,0.070783,995.45,0,NA,NA
37,33.3,0.05869,995.46,0,NA,NA
38,33.3,0.051229,995.33,0,NA,NA
39,33.3,0.045421,995.48,0,NA,NA
40,33.3,0.041225,995.42,0,NA,NA
41,33.3,0.038012,995.19,0,NA,NA
42,33.3,0.03773,995.06,0,NA,NA
43,33.3,0.037455,994.76,0,NA,NA
44,33.3,0.037185,994.09,0,NA,NA
45,33.3,0.042067,993.55,0,NA,NA
46,33.3,0.049571,992.63,43.455,31.239,486.72
47,33.3,0.063393,991.57,0,NA,NA
48,33.3,0.048951,990.08,0,NA,NA
49,33.3,0.041316,988.56,0,NA,NA
50,33.3,0.036411,987.4,0,NA,NA
51,33.3,0.033586,986.08,0,NA,NA
52,33.3,0.031331,984.71,0,NA,NA
53,33.3,0.029477,983.52,0,NA,NA
54,33.3,0.03216,982.4,0,NA,NA
55,33.3,0.035741,981.41,0,NA,NA
56,33.3,0.040867,980.54,0,NA,NA
57,33.3,0.037523,979.97,0,NA,NA
58,33.3,0.034885,980,0,NA,NA
59,33.3,0.032736,980.02,0,NA,NA
60,33.3,0.038155,980.2,0,NA,NA
61,33.3,0.047638,980.66,42.011,30.463,481.77
62,33.3,0.07172,981.07,0,NA,NA
63,33.3,0.070783,981.16,0,NA,NA
64,33.3,0.069881,981.26,0,NA,NA
65,33.3,0.069013,981.35,0,NA,NA
66,33.3,0.067769,981.8,0,NA,NA
67,33.3,0.066591,982.05,0,NA,NA
68,33.3,0.065472,982.56,0,NA,NA
69,33.3,0.058173,983.1,0,NA,NA
70,33.3,0.052873,984.02,0,NA,NA
71,33.3,0.0488,985.12,0,NA,NA
72,33.3,0.044479,985.68,0,NA,NA
73,33.3,0.041135,985.94,0,NA,NA
74,33.3,0.038446,985.66,0,NA,NA
75,33.3,0.038083,984.87,0,NA,NA
76,33.3,0.03773,984.1,42.188,30.827,484.09
77,33.3,0.037387,982.91,0,NA,NA
78,33.3,0.038669,982,0,NA,NA
79,33.3,0.040093,981.2,0,NA,NA
80,33.3,0.041687,980.87,0,NA,NA
81,33.3,0.037523,980.63,0,NA,NA
82,33.3,0.034401,980.74,0,NA,NA
83,33.3,0.031947,981.12,0,NA,NA
84,33.3,0.03344,982.09,0,NA,NA
85,33.3,0.035164,983.69,0,NA,NA
86,33.3,0.037185,985.28,0,NA,NA
87,33.3,0.03522,986.55,0,NA,NA
88,33.3,0.033537,988.07,0,NA,NA
89,33.3,0.032074,989.46,0,NA,NA
90,33.3,0.033012,990.61,0,NA,NA
91,33.3,0.034037,991.1,41.805,30.747,483.58
92,33.3,0.035164,991.42,0,NA,NA
93,33.3,0.0326,991.61,0,NA,NA
94,33.3,0.030526,991.46,0,NA,NA
95,33.3,0.028804,991.63,0,NA,NA
96,33.3,0.029086,991.78,0,NA,NA
97,33.3,0.029378,992.62,0,NA,NA
98,33.3,0.029678,993.95,0,NA,NA
99,33.3,0.03414,995.51,0,NA,NA
100,33.3,0.0415,997.65,0,NA,NA
101,33.3,0.057422,999.59,0,NA,NA
102,33.3,0.045421,1000.8,0,NA,NA
103,33.3,0.038744,1001.9,0,NA,NA
104,33.3,0.034348,1002.3,0,NA,NA
105,33.3,0.039682,1002.2,0,NA,NA
106,33.3,0.04865,1002.1,41.997,31.073,485.66
107,33.3,0.069013,1001.9,0,NA,NA
108,33.3,0.075882,1002,0,NA,NA
109,33.3,0.085317,1001.8,0,NA,NA
110,33.3,0.099458,1001.5,0,NA,NA
111,33.3,0.089651,1001,0,NA,NA
112,33.3,0.082269,1000.1,0,NA,NA
113,33.3,0.076454,999.1,0,NA,NA
114,33.3,0.075882,997.78,0,NA,NA
115,33.3,0.075322,997.09,0,NA,NA
116,33.3,0.074774,996.82,0,NA,NA
117,33.3,0.062742,997.41,0,NA,NA
118,33.3,0.055115,999,0,NA,NA
119,33.3,0.049729,1000.9,0,NA,NA
120,33.267,0.05869,1002.4,0,NA,NA
121,33.233,0.075322,1003.5,41.995,31.695,489.64
122,33.2,0.12679,1003.9,0,NA,NA
123,33.2,0.086974,1003.7,0,NA,NA
124,33.2,0.070328,1003.4,0,NA,NA
