"Seconds","AirT","gHa","Rabs","DLTemp","LTemp","Lwatts"
1,32.9,0.044253,1132.4,42.86,30.606,482.68
2,32.9,0.045543,1132.4,0,NA,NA
3,32.9,0.045914,1131.8,0,NA,NA
4,32.9,0.046295,1131.8,0,NA,NA
5,32.9,0.046686,1131.2,0,NA,NA
6,32.9,0.04736,1130.3,0,NA,NA
7,32.9,0.048064,1130.4,0,NA,NA
8,32.9,0.0488,1130.3,0,NA,NA
9,32.9,0.049258,1130.2,0,NA,NA
10,32.9,0.049729,1130.4,0,NA,NA
11,32.9,0.050214,1130.5,0,NA,NA
12,32.9,0.053656,1130.6,0,NA,NA
13,32.9,0.057919,1129.9,0,NA,NA
14,32.9,0.063393,1130.1,0,NA,NA
15,32.9,0.060906,1131,0,NA,NA
16,32.9,0.05869,1131.1,45.249,33.759,503.03
17,32.9,0.0567,1131.4,0,NA,NA
18,32.9,0.057669,1131.5,0,NA,NA
19,32.9,0.05869,1131.7,0,NA,NA
20,32.9,0.059767,1131.7,0,NA,NA
21,32.9,0.052494,1131.6,0,NA,NA
22,32.9,0.04736,1131.9,0,NA,NA
23,32.9,0.043487,1132.6,0,NA,NA
24,32.9,0.046818,1132.5,0,NA,NA
25,32.9,0.051056,1132.5,0,NA,NA
26,32.9,0.0567,1133.1,0,NA,NA
27,32.9,0.060615,1133.1,0,NA,NA
28,32.9,0.065472,1132.9,0,NA,NA
29,32.9,0.07172,1133.6,0,NA,NA
30,32.9,0.061803,1133.7,0,NA,NA
31,32.9,0.055115,1133.7,47.049,34.381,507.13
32,32.9,0.050214,1133.6,0,NA,NA
33,32.9,0.047778,1133.6,0,NA,NA
34,32.9,0.045665,1133.9,0,NA,NA
35,32.9,0.04381,1133.8,0,NA,NA
36,32.9,0.04604,1133.7,0,NA,NA
37,32.9,0.04865,1133.8,0,NA,NA
38,32.9,0.05176,1133.9,0,NA,NA
39,32.9,0.049729,1134,0,NA,NA
40,32.9,0.04792,1134.7,0,NA,NA
41,32.9,0.046295,1134.7,0,NA,NA
42,32.9,0.049571,1134.8,0,NA,NA
43,32.9,0.053656,1134.8,0,NA,NA
44,32.9,0.058954,1134.8,0,NA,NA
45,32.933,0.057422,1134.7,0,NA,NA
46,32.967,0.056004,1134.7,48.111,34.742,509.51
47,33,0.054686,1134.8,0,NA,NA
48,33,0.051404,1134.8,0,NA,NA
49,33,0.04865,1134.1,0,NA,NA
50,33,0.046295,1134.1,0,NA,NA
51,33,0.054267,1134.1,0,NA,NA
52,33,0.068591,1134.1,0,NA,NA
53,33,0.10812,1134.1,0,NA,NA
54,33,0.11953,1133.4,0,NA,NA
55,33,0.13554,1133.3,0,NA,NA
56,33,0.16037,1133.3,0,NA,NA
57,33,0.11534,1132.5,0,NA,NA
58,33,0.09472,1132.5,0,NA,NA
59,33,0.082269,1131.7,0,NA,NA
60,33,0.083751,1131.8,0,NA,NA
61,33,0.085317,1131.9,47.767,34.617,508.69
62,33,0.086974,1132,0,NA,NA
63,33,0.082269,1132.2,0,NA,NA
64,33,0.078253,1131.7,0,NA,NA
65,33,0.074774,1131.7,0,NA,NA
66,33,0.079526,1131.9,0,NA,NA
67,33,0.085317,1131.8,0,NA,NA
68,33,0.092591,1131.9,0,NA,NA
69,33,0.075882,1131.2,0,NA,NA
70,33,0.065838,1131.1,0,NA,NA
71,33,0.058954,1131.2,0,NA,NA
72,33,0.063725,1131.4,0,NA,NA
73,33,0.069881,1131.4,0,NA,NA
74,33,0.078253,1131.4,0,NA,NA
75,33,0.07704,1131.5,0,NA,NA
76,33,0.075882,1131.6,49.658,34.837,510.14
77,33,0.074774,1131,0,NA,NA
78,33,0.066211,1131.1,0,NA,NA
79,33,0.060046,1131.1,0,NA,NA
80,33,0.055334,1131.3,0,NA,NA
81,33,0.065111,1131.2,0,NA,NA
82,33,0.083,1131.4,0,NA,NA
83,33,0.13554,1131.3,0,NA,NA
84,33,0.085317,1130.6,0,NA,NA
85,33,0.06737,1130.5,0,NA,NA
86,33,0.057422,1130.7,0,NA,NA
87,33,0.061803,1130.7,0,NA,NA
88,33,0.06737,1130.8,0,NA,NA
89,33,0.074774,1130.8,0,NA,NA
90,33,0.064407,1130.6,0,NA,NA
91,33,0.057422,1131.3,49.889,35.277,513.06
92,33,0.052308,1131.2,0,NA,NA
93,33.033,0.055778,1131,0,NA,NA
94,33.067,0.060046,1131.1,0,NA,NA
95,33.1,0.065472,1131.2,0,NA,NA
96,33.1,0.070328,1131.2,0,NA,NA
97,33.1,0.076454,1131.2,0,NA,NA
98,33.1,0.084523,1130.6,0,NA,NA
99,33.1,0.066977,1130.6,0,NA,NA
100,33.1,0.057178,1130.6,0,NA,NA
101,33.1,0.050714,1130.6,0,NA,NA
102,33.1,0.05869,1129.7,0,NA,NA
103,33.1,0.072203,1130,0,NA,NA
104,33.1,0.10352,1129.3,0,NA,NA
105,33.1,0.088731,1129.4,0,NA,NA
106,33.1,0.078882,1129.4,50.506,36.173,519.05
107,33.1,0.07172,1129.5,0,NA,NA
108,33.1,0.065472,1129.5,0,NA,NA
109,33.1,0.060615,1129.3,0,NA,NA
110,33.1,0.0567,1129.2,0,NA,NA
111,33.1,0.057178,1129.4,0,NA,NA
112,33.1,0.057669,1128.6,0,NA,NA
113,33.1,0.058173,1129.3,0,NA,NA
114,33.1,0.056938,1128.8,0,NA,NA
115,33.1,0.055778,1128.6,0,NA,NA
116,33.1,0.054686,1128.4,0,NA,NA
117,33.1,0.051581,1128.2,0,NA,NA
118,33.1,0.048951,1128.2,0,NA,NA
119,33.1,0.046686,1128.1,0,NA,NA
120,33.1,0.048064,1127.4,0,NA,NA
121,33.1,0.049571,1127.1,51.165,36.517,521.36
122,33.1,0.051229,1127.1,0,NA,NA
123,33.1,0.057178,1126.2,0,NA,NA
124,33.1,0.065838,1126.2,0,NA,NA
125,33.1,0.080186,1126.2,0,NA,NA
126,33.1,0.070783,1126.2,0,NA,NA
127,33.1,0.064063,1125.5,0,NA,NA
128,33.1,0.058954,1125.5,0,NA,NA
129,33.1,0.062742,1124.9,0,NA,NA
130,33.1,0.06737,1124.2,0,NA,NA
131,33.1,0.073199,1123.5,0,NA,NA
132,33.1,0.072696,1122.9,0,NA,NA
133,33.1,0.072203,1122.1,0,NA,NA
134,33.1,0.07172,1121.5,0,NA,NA
135,33.133,0.058954,1121.6,0,NA,NA
136,33.167,0.051229,1120.8,49.19,36.864,523.7
137,33.2,0.045914,1120.9,0,NA,NA
138,33.2,0.048064,1120.3,0,NA,NA
139,33.2,0.050546,1120.3,0,NA,NA
140,33.2,0.053457,1119.6,0,NA,NA
141,33.2,0.057178,1118.9,0,NA,NA
142,33.2,0.061803,1118.2,0,NA,NA
143,33.2,0.067769,1118.1,0,NA,NA
144,33.2,0.060328,1117.5,0,NA,NA
145,33.2,0.0549,1117.6,0,NA,NA
146,33.2,0.050714,1117.5,0,NA,NA
147,33.2,0.053066,1117.6,0,NA,NA
148,33.2,0.055778,1118.2,0,NA,NA
149,33.2,0.058954,1118.2,0,NA,NA
150,33.2,0.053457,1118.2,0,NA,NA
151,33.2,0.049258,1118.3,49.716,38.113,532.19
152,33.2,0.045914,1118.2,0,NA,NA
153,33.2,0.049729,1118.2,0,NA,NA
154,33.2,0.054686,1118.3,0,NA,NA
155,33.2,0.0615,1118.2,0,NA,NA
156,33.2,0.063725,1118.4,0,NA,NA
157,33.2,0.066211,1118.2,0,NA,NA
158,33.2,0.069013,1119,0,NA,NA
159,33.2,0.060046,1119,0,NA,NA
160,33.2,0.053858,1119,0,NA,NA
161,33.2,0.049258,1118.8,0,NA,NA
162,33.2,0.057669,1118.9,0,NA,NA
163,33.2,0.072696,1117.8,0,NA,NA
164,33.2,0.1134,1117.9,0,NA,NA
165,33.2,0.09472,1117.7,0,NA,NA
166,33.2,0.083,1117.6,47.655,37.68,529.24
167,33.2,0.074774,1116.9,0,NA,NA
168,33.2,0.088731,1116.9,0,NA,NA
169,33.2,0.11534,1116.9,0,NA,NA
170,33.2,0.20704,1116.8,0,NA,NA
171,33.233,0.084523,1116.8,0,NA,NA
172,33.267,0.062425,1116,0,NA,NA
173,33.3,0.05176,1116,0,NA,NA
174,33.3,0.038446,1115.9,0,NA,NA
175,33.3,0.031947,1116,0,NA,NA
176,33.3,0.027917,1116.1,0,NA,NA
177,33.3,0.028991,1116.3,0,NA,NA
178,33.3,0.0302,1116,0,NA,NA
179,33.3,0.031573,1114.9,0,NA,NA
180,33.3,0.031614,1114.4,0,NA,NA
181,33.3,0.031655,1113.7,48.317,38.977,538.13
