"Seconds","AirT","gHa","Rabs","DLTemp","LTemp","Lwatts"
1,30.6,0.14249,1181.8,46.36,34.732,509.45
2,30.6,0.11534,1181.8,0,NA,NA
3,30.6,0.099458,1181.7,0,NA,NA
4,30.6,0.072203,1181.5,0,NA,NA
5,30.6,0.059492,1182.4,0,NA,NA
6,30.6,0.05176,1182.7,0,NA,NA
7,30.6,0.054476,1182.9,0,NA,NA
8,30.6,0.057669,1183.7,0,NA,NA
9,30.6,0.0615,1183.6,0,NA,NA
10,30.6,0.051056,1183.4,0,NA,NA
11,30.6,0.044594,1182.3,0,NA,NA
12,30.6,0.040093,1182,0,NA,NA
13,30.6,0.041408,1182,0,NA,NA
14,30.6,0.042861,1181.3,0,NA,NA
15,30.6,0.044479,1181.5,0,NA,NA
16,30.6,0.052873,1181.6,47.561,36.03,518.09
17,30.6,0.069013,1181.6,0,NA,NA
18,30.6,0.12679,1181.5,0,NA,NA
19,30.6,0.088731,1181.6,0,NA,NA
20,30.6,0.072203,1182.1,0,NA,NA
21,30.6,0.062425,1182,0,NA,NA
22,30.6,0.065111,1181.9,0,NA,NA
23,30.6,0.068176,1181.9,0,NA,NA
24,30.6,0.07172,1182.6,0,NA,NA
25,30.6,0.081557,1182.6,0,NA,NA
26,30.6,0.097002,1181.8,0,NA,NA
27,30.6,0.12679,1181.3,0,NA,NA
28,30.6,0.09472,1180.6,0,NA,NA
29,30.6,0.078882,1179.8,0,NA,NA
30,30.6,0.069013,1180.1,0,NA,NA
31,30.6,0.075882,1180.2,47.863,35.33,513.42
32,30.6,0.085317,1180.4,0,NA,NA
33,30.6,0.099458,1180.8,0,NA,NA
34,30.6,0.10076,1180.8,0,NA,NA
35,30.6,0.10211,1181.1,0,NA,NA
36,30.6,0.10352,1181,0,NA,NA
37,30.6,0.083751,1181.1,0,NA,NA
38,30.6,0.072203,1182,0,NA,NA
39,30.6,0.064407,1182,0,NA,NA
40,30.6,0.053066,1182.1,0,NA,NA
41,30.6,0.046167,1182.1,0,NA,NA
42,30.6,0.041408,1181.4,0,NA,NA
43,30.6,0.042759,1180.8,0,NA,NA
44,30.6,0.044253,1179.8,0,NA,NA
45,30.6,0.045914,1178.4,0,NA,NA
46,30.6,0.0453,1178.4,49.518,35.463,514.3
47,30.6,0.044709,1177.3,0,NA,NA
48,30.6,0.044141,1177.1,0,NA,NA
49,30.6,0.047223,1176.3,0,NA,NA
50,30.6,0.051056,1176.2,0,NA,NA
51,30.6,0.056004,1176.8,0,NA,NA
52,30.6,0.048208,1176.3,0,NA,NA
53,30.6,0.042964,1176.9,0,NA,NA
54,30.6,0.039127,1177.1,0,NA,NA
55,30.6,0.0453,1176.4,0,NA,NA
56,30.6,0.055778,1176.5,0,NA,NA
57,30.6,0.080186,1176.6,0,NA,NA
58,30.6,0.071247,1176.9,0,NA,NA
59,30.6,0.064756,1176.9,0,NA,NA
60,30.6,0.059767,1176.8,0,NA,NA
61,30.6,0.0615,1177.6,48.131,34.417,507.36
62,30.6,0.063393,1177.7,0,NA,NA
63,30.6,0.065472,1177.8,0,NA,NA
64,30.6,0.066591,1178,0,NA,NA
65,30.6,0.067769,1177.5,0,NA,NA
66,30.6,0.069013,1176.9,0,NA,NA
67,30.6,0.075322,1176.2,0,NA,NA
68,30.6,0.083751,1175.7,0,NA,NA
69,30.6,0.09584,1175.1,0,NA,NA
70,30.6,0.074238,1174.5,0,NA,NA
71,30.6,0.062742,1173.9,0,NA,NA
72,30.6,0.055334,1172.4,0,NA,NA
73,30.6,0.062112,1172.5,0,NA,NA
74,30.6,0.072203,1173.5,0,NA,NA
75,30.6,0.089651,1173.7,0,NA,NA
76,30.6,0.078253,1173.7,48.979,35.212,512.63
77,30.6,0.070328,1173.8,0,NA,NA
78,30.6,0.064407,1173.2,0,NA,NA
79,30.6,0.063725,1173.3,0,NA,NA
80,30.6,0.063065,1172.6,0,NA,NA
81,30.6,0.062425,1172.7,0,NA,NA
82,30.6,0.061803,1172.1,0,NA,NA
83,30.6,0.061201,1172,0,NA,NA
84,30.6,0.060615,1171.5,0,NA,NA
85,30.6,0.059221,1170.6,0,NA,NA
86,30.6,0.057919,1169.2,0,NA,NA
87,30.6,0.0567,1168.4,0,NA,NA
88,30.6,0.052123,1167.6,0,NA,NA
89,30.6,0.048501,1167.6,0,NA,NA
90,30.6,0.045543,1168.2,0,NA,NA
91,30.6,0.045665,1169,49.892,35.136,512.13
92,30.6,0.045789,1169.1,0,NA,NA
93,30.6,0.045914,1169,0,NA,NA
94,30.6,0.048501,1169.1,0,NA,NA
95,30.6,0.051581,1168.3,0,NA,NA
96,30.6,0.055334,1168.3,0,NA,NA
97,30.6,0.054267,1168.4,0,NA,NA
98,30.6,0.05326,1169,0,NA,NA
99,30.6,0.052308,1169.5,0,NA,NA
100,30.6,0.046952,1170.9,0,NA,NA
101,30.6,0.042964,1170.9,0,NA,NA
102,30.6,0.039845,1171.8,0,NA,NA
103,30.6,0.039601,1171.8,0,NA,NA
104,30.6,0.039362,1171.7,0,NA,NA
105,30.6,0.039127,1171.6,0,NA,NA
106,30.6,0.043275,1171.7,49.205,35.216,512.66
107,30.6,0.049104,1171,0,NA,NA
108,30.6,0.058173,1170.4,0,NA,NA
109,30.633,0.059221,1169.6,0,NA,NA
110,30.667,0.060328,1168.8,0,NA,NA
111,30.7,0.0615,1169.6,0,NA,NA
112,30.7,0.052682,1171.1,0,NA,NA
113,30.7,0.046818,1172.4,0,NA,NA
114,30.7,0.042558,1173.9,0,NA,NA
115,30.7,0.044709,1175.4,0,NA,NA
116,30.7,0.047223,1175.9,0,NA,NA
117,30.7,0.050214,1175.9,0,NA,NA
118,30.7,0.051229,1176.6,0,NA,NA
119,30.7,0.052308,1176.5,0,NA,NA
120,30.7,0.053457,1175.7,0,NA,NA
121,30.7,0.059767,1174.9,48.182,35.341,513.48
122,30.7,0.069013,1173.3,0,NA,NA
123,30.7,0.084523,1171.8,0,NA,NA
124,30.7,0.071247,1171,0,NA,NA
125,30.7,0.062742,1170.9,0,NA,NA
126,30.7,0.0567,1170.8,0,NA,NA
