"Seconds","AirT","gHa","Rabs","DLTemp","LTemp","Lwatts"
1,33.6,0.047223,1159.3,47.291,32.815,496.87
2,33.6,0.042262,1159.2,0,NA,NA
3,33.6,0.042262,1159.1,0,NA,NA
4,33.6,0.042262,1159,0,NA,NA
5,33.6,0.042262,1158.9,0,NA,NA
6,33.6,0.049104,1158.8,0,NA,NA
7,33.6,0.060906,1158.7,0,NA,NA
8,33.6,0.089651,1157.7,0,NA,NA
9,33.6,0.060906,1157.6,0,NA,NA
10,33.6,0.049104,1157.5,0,NA,NA
11,33.6,0.042262,1157.6,0,NA,NA
12,33.6,0.043702,1157.4,0,NA,NA
13,33.6,0.0453,1157.3,0,NA,NA
14,33.6,0.047087,1157.2,0,NA,NA
15,33.6,0.053656,1157.1,0,NA,NA
16,33.6,0.064063,1157.1,47.808,33.89,503.89
17,33.6,0.084523,1157.1,0,NA,NA
18,33.6,0.066977,1157.1,0,NA,NA
19,33.6,0.057178,1156.7,0,NA,NA
20,33.6,0.050714,1156.5,0,NA,NA
21,33.6,0.050051,1156.6,0,NA,NA
22,33.6,0.049413,1156.7,0,NA,NA
23,33.6,0.0488,1156.8,0,NA,NA
24,33.6,0.054061,1156.8,0,NA,NA
25,33.6,0.0615,1157.1,0,NA,NA
26,33.6,0.073199,1157.2,0,NA,NA
27,33.6,0.069443,1156.9,0,NA,NA
28,33.6,0.066211,1156.6,0,NA,NA
29,33.6,0.063393,1156.6,0,NA,NA
30,33.6,0.054267,1156.7,0,NA,NA
31,33.6,0.048208,1156.1,47.254,33.319,500.16
32,33.6,0.04381,1156.2,0,NA,NA
33,33.6,0.041971,1156.3,0,NA,NA
34,33.6,0.040346,1156.4,0,NA,NA
35,33.6,0.038896,1156.5,0,NA,NA
36,33.6,0.040431,1156.6,0,NA,NA
37,33.6,0.042164,1156.6,0,NA,NA
38,33.6,0.044141,1156.7,0,NA,NA
39,33.6,0.043487,1156.8,0,NA,NA
40,33.6,0.042861,1157,0,NA,NA
41,33.6,0.042262,1156.9,0,NA,NA
42,33.6,0.045543,1156.9,0,NA,NA
43,33.6,0.049729,1156.8,0,NA,NA
44,33.6,0.055334,1156.6,0,NA,NA
45,33.6,0.046167,1156.9,0,NA,NA
46,33.6,0.040431,1157,47.221,33.43,500.88
47,33.6,0.036411,1157.2,0,NA,NA
48,33.6,0.03598,1157.1,0,NA,NA
49,33.6,0.035565,1156.9,0,NA,NA
50,33.6,0.035164,1156.8,0,NA,NA
51,33.6,0.037185,1156,0,NA,NA
52,33.6,0.039601,1156.1,0,NA,NA
53,33.6,0.042558,1156,0,NA,NA
54,33.6,0.049889,1155.9,0,NA,NA
55,33.6,0.063065,1155.8,0,NA,NA
56,33.6,0.099458,1154.7,0,NA,NA
57,33.6,0.069443,1154.5,0,NA,NA
58,33.6,0.056465,1154.5,0,NA,NA
59,33.6,0.0488,1154.4,0,NA,NA
60,33.6,0.045543,1153.8,0,NA,NA
61,33.6,0.042861,1153.8,46.503,33.481,501.21
