"Seconds","AirT","gHa","Rabs","DLTemp","LTemp","Lwatts"
1,30.5,0.04604,1191.3,48.795,33.774,503.14
2,30.5,0.041971,1191.1,0,NA,NA
3,30.5,0.044942,1191.1,0,NA,NA
4,30.5,0.04865,1191.1,0,NA,NA
5,30.5,0.053457,1190.9,0,NA,NA
6,30.5,0.053858,1191,0,NA,NA
7,30.5,0.054267,1191,0,NA,NA
8,30.5,0.054686,1190.9,0,NA,NA
9,30.533,0.059767,1190.7,0,NA,NA
10,30.567,0.066591,1190.5,0,NA,NA
11,30.6,0.076454,1190.5,0,NA,NA
12,30.6,0.063065,1190.4,0,NA,NA
13,30.6,0.0549,1190.3,0,NA,NA
14,30.6,0.049258,1190,0,NA,NA
15,30.6,0.055115,1189.9,0,NA,NA
16,30.6,0.063725,1189.9,48.628,35.782,516.43
17,30.6,0.078253,1190,0,NA,NA
18,30.6,0.063393,1189.4,0,NA,NA
19,30.6,0.054686,1189.3,0,NA,NA
20,30.6,0.0488,1189.5,0,NA,NA
21,30.6,0.047638,1189.5,0,NA,NA
22,30.6,0.046555,1189.3,0,NA,NA
23,30.6,0.045543,1188.6,0,NA,NA
24,30.6,0.049571,1188.5,0,NA,NA
25,30.6,0.0549,1188.7,0,NA,NA
26,30.6,0.062425,1188.7,0,NA,NA
27,30.6,0.073713,1188.7,0,NA,NA
28,30.6,0.09472,1188.8,0,NA,NA
29,30.6,0.16037,1188.8,0,NA,NA
30,30.6,0.11738,1188.8,0,NA,NA
31,30.6,0.097002,1188.2,47.571,35.206,512.59
32,30.6,0.084523,1188.3,0,NA,NA
33,30.6,0.065472,1188.5,0,NA,NA
34,30.6,0.055334,1188.5,0,NA,NA
35,30.6,0.0488,1188.5,0,NA,NA
36,30.6,0.040604,1188.9,0,NA,NA
37,30.6,0.035507,1188.9,0,NA,NA
38,30.6,0.031947,1188.9,0,NA,NA
39,30.6,0.033248,1189.1,0,NA,NA
40,30.6,0.034722,1188.2,0,NA,NA
41,30.6,0.036411,1188.9,0,NA,NA
42,30.6,0.040955,1189,0,NA,NA
43,30.6,0.047778,1189,0,NA,NA
44,30.6,0.059767,1189,0,NA,NA
45,30.6,0.05176,1188.9,0,NA,NA
46,30.6,0.046295,1188.7,48.249,35.941,517.5
47,30.6,0.042262,1188.6,0,NA,NA
48,30.6,0.0453,1188.7,0,NA,NA
49,30.6,0.049104,1188.7,0,NA,NA
50,30.6,0.054061,1188.8,0,NA,NA
51,30.6,0.051229,1188.9,0,NA,NA
52,30.6,0.0488,1188.9,0,NA,NA
53,30.6,0.046686,1188.8,0,NA,NA
54,30.6,0.048208,1188.6,0,NA,NA
55,30.6,0.049889,1187.9,0,NA,NA
56,30.6,0.05176,1188,0,NA,NA
57,30.6,0.051229,1187.9,0,NA,NA
58,30.6,0.050714,1187.7,0,NA,NA
59,30.6,0.050214,1187.7,0,NA,NA
60,30.6,0.057178,1186.9,0,NA,NA
61,30.6,0.068176,1186.9,47.766,35.671,515.69
62,30.6,0.089651,1186.8,0,NA,NA
