"Seconds","AirT","gHa","Rabs","DLTemp","LTemp","Lwatts"
1,29.5,0.066977,1175.7,49.136,34.985,511.12
2,29.5,0.066591,1174.9,0,NA,NA
3,29.5,0.072203,1174.8,0,NA,NA
4,29.5,0.079526,1174.8,0,NA,NA
5,29.5,0.089651,1174,0,NA,NA
6,29.5,0.091579,1174,0,NA,NA
7,29.5,0.093637,1173.9,0,NA,NA
8,29.5,0.09584,1173.3,0,NA,NA
9,29.5,0.093637,1173.4,0,NA,NA
10,29.5,0.091579,1173.3,0,NA,NA
11,29.5,0.089651,1173.4,0,NA,NA
12,29.5,0.078882,1173.4,0,NA,NA
13,29.5,0.071247,1174.3,0,NA,NA
14,29.5,0.065472,1174.3,0,NA,NA
15,29.5,0.066211,1174.1,0,NA,NA
16,29.5,0.066977,1174.2,48.827,34.968,511.01
17,29.5,0.067769,1174,0,NA,NA
18,29.5,0.056465,1174,0,NA,NA
19,29.5,0.049413,1173.5,0,NA,NA
20,29.5,0.044479,1173.4,0,NA,NA
21,29.5,0.046818,1174,0,NA,NA
22,29.5,0.049571,1174,0,NA,NA
23,29.5,0.052873,1174.1,0,NA,NA
24,29.5,0.057178,1174.2,0,NA,NA
25,29.5,0.062742,1174.9,0,NA,NA
26,29.5,0.070328,1174.9,0,NA,NA
27,29.5,0.074774,1174.1,0,NA,NA
28,29.5,0.080186,1174,0,NA,NA
29,29.5,0.086974,1174,0,NA,NA
30,29.5,0.079526,1173.2,0,NA,NA
31,29.5,0.073713,1173.2,47.258,34.185,505.83
32,29.5,0.069013,1172.3,0,NA,NA
33,29.5,0.080186,1172.2,0,NA,NA
34,29.5,0.099458,1172.2,0,NA,NA
35,29.5,0.1464,1171.4,0,NA,NA
36,29.5,0.088731,1171.5,0,NA,NA
37,29.5,0.069443,1171.4,0,NA,NA
38,29.5,0.058954,1171.5,0,NA,NA
39,29.5,0.06737,1171.5,0,NA,NA
40,29.5,0.080863,1171.5,0,NA,NA
41,29.5,0.10812,1171.2,0,NA,NA
42,29.5,0.089651,1170.6,0,NA,NA
43,29.5,0.078253,1170.8,0,NA,NA
44,29.5,0.070328,1170.3,0,NA,NA
45,29.5,0.074774,1169.8,0,NA,NA
46,29.5,0.080186,1169.1,47.633,35.272,513.03
47,29.5,0.086974,1169.2,0,NA,NA
48,29.533,0.081557,1169.5,0,NA,NA
49,29.567,0.07704,1170.2,0,NA,NA
50,29.6,0.073199,1170.6,0,NA,NA
51,29.6,0.082269,1170.6,0,NA,NA
52,29.6,0.09584,1170.7,0,NA,NA
53,29.6,0.11953,1171.5,0,NA,NA
54,29.6,0.11534,1171.3,0,NA,NA
55,29.6,0.11156,1171.5,0,NA,NA
56,29.6,0.10812,1172.2,0,NA,NA
57,29.6,0.09472,1172.2,0,NA,NA
58,29.6,0.085317,1172.4,0,NA,NA
59,29.6,0.078253,1173.2,0,NA,NA
60,29.6,0.086133,1173.2,0,NA,NA
61,29.6,0.097002,1174,48.238,35.696,515.86
62,29.6,0.1134,1173.6,0,NA,NA
63,29.6,0.098207,1174.1,0,NA,NA
64,29.6,0.087839,1174.1,0,NA,NA
65,29.6,0.080186,1174.8,0,NA,NA
66,29.6,0.06737,1175.4,0,NA,NA
67,29.6,0.059221,1174.6,0,NA,NA
68,29.6,0.053457,1174.6,0,NA,NA
69,29.6,0.057919,1174.6,0,NA,NA
70,29.6,0.063725,1175.3,0,NA,NA
71,29.6,0.07172,1175.5,0,NA,NA
72,29.6,0.069013,1175.6,0,NA,NA
73,29.6,0.066591,1175.6,0,NA,NA
74,29.6,0.064407,1176.5,0,NA,NA
75,29.6,0.06737,1176.5,0,NA,NA
76,29.6,0.070783,1176.7,49.497,36.801,523.28
77,29.6,0.074774,1176.7,0,NA,NA
78,29.6,0.073713,1176.2,0,NA,NA
79,29.6,0.072696,1177,0,NA,NA
80,29.6,0.07172,1177.1,0,NA,NA
81,29.6,0.065111,1177.4,0,NA,NA
82,29.6,0.060046,1178.1,0,NA,NA
83,29.6,0.056004,1178,0,NA,NA
84,29.6,0.054476,1178,0,NA,NA
85,29.6,0.053066,1177.9,0,NA,NA
86,29.6,0.05176,1177.7,0,NA,NA
87,29.6,0.054686,1177.7,0,NA,NA
88,29.6,0.058173,1176.8,0,NA,NA
89,29.6,0.062425,1176.8,0,NA,NA
90,29.633,0.069443,1176.7,0,NA,NA
91,29.667,0.079526,1176.7,48.969,36.572,521.73
92,29.7,0.09584,1177.4,0,NA,NA
93,29.7,0.083751,1177.4,0,NA,NA
94,29.7,0.075322,1177.4,0,NA,NA
95,29.7,0.069013,1177.6,0,NA,NA
96,29.7,0.058954,1177.8,0,NA,NA
97,29.7,0.052308,1177.9,0,NA,NA
98,29.7,0.047498,1177.8,0,NA,NA
99,29.7,0.04736,1177.7,0,NA,NA
100,29.7,0.047223,1177.7,0,NA,NA
101,29.7,0.047087,1177.7,0,NA,NA
102,29.7,0.050051,1176.9,0,NA,NA
103,29.7,0.053656,1176.8,0,NA,NA
104,29.7,0.058173,1177.7,0,NA,NA
105,29.7,0.055334,1177.7,0,NA,NA
106,29.7,0.052873,1177.9,46.45,35.623,515.37
107,29.7,0.050714,1177.9,0,NA,NA
108,29.7,0.051056,1178.7,0,NA,NA
109,29.7,0.051404,1178.6,0,NA,NA
110,29.7,0.05176,1177.9,0,NA,NA
111,29.7,0.050051,1177.9,0,NA,NA
112,29.7,0.048501,1177.9,0,NA,NA
113,29.7,0.047087,1177.8,0,NA,NA
114,29.7,0.047223,1177.9,0,NA,NA
115,29.7,0.04736,1177.9,0,NA,NA
116,29.7,0.047498,1177.7,0,NA,NA
117,29.7,0.051229,1177.6,0,NA,NA
118,29.7,0.056004,1177.5,0,NA,NA
119,29.7,0.062425,1177.5,0,NA,NA
120,29.7,0.069013,1177.5,0,NA,NA
121,29.7,0.078253,1177.5,46.054,36.915,524.05
122,29.7,0.092591,1177.5,0,NA,NA
123,29.7,0.080863,1177.4,0,NA,NA
124,29.7,0.072696,1177.2,0,NA,NA
125,29.7,0.066591,1177.2,0,NA,NA
126,29.7,0.066591,1177.1,0,NA,NA
127,29.7,0.066591,1176.9,0,NA,NA
128,29.7,0.066591,1177,0,NA,NA
129,29.7,0.060906,1176.1,0,NA,NA
130,29.7,0.056465,1176.1,0,NA,NA
131,29.7,0.052873,1176,0,NA,NA
132,29.7,0.047223,1176,0,NA,NA
133,29.7,0.043067,1176,0,NA,NA
134,29.7,0.039845,1175.9,0,NA,NA
135,29.733,0.041781,1176,0,NA,NA
136,29.767,0.04403,1175.2,46.356,38.214,532.89
137,29.8,0.046686,1175.3,0,NA,NA
138,29.8,0.047778,1175.2,0,NA,NA
139,29.8,0.048951,1174.5,0,NA,NA
140,29.8,0.050214,1174.4,0,NA,NA
141,29.8,0.051056,1174.6,0,NA,NA
142,29.8,0.05194,1174.7,0,NA,NA
143,29.8,0.052873,1174.8,0,NA,NA
144,29.8,0.057178,1174.8,0,NA,NA
145,29.8,0.062742,1173.9,0,NA,NA
146,29.8,0.070328,1174.1,0,NA,NA
147,29.8,0.073713,1174.1,0,NA,NA
148,29.8,0.07764,1173.4,0,NA,NA
149,29.8,0.082269,1173.4,0,NA,NA
150,29.8,0.097002,1173.6,0,NA,NA
151,29.8,0.12422,1173.7,47.444,40.066,545.67
152,29.8,0.20704,1173.8,0,NA,NA
153,29.8,0.078253,1173.9,0,NA,NA
154,29.8,0.057422,1173.1,0,NA,NA
155,29.8,0.047498,1173.1,0,NA,NA
156,29.8,0.050714,1173.1,0,NA,NA
157,29.8,0.054686,1172.4,0,NA,NA
158,29.8,0.059767,1173.1,0,NA,NA
159,29.8,0.07172,1172.5,0,NA,NA
160,29.8,0.09584,1172.8,0,NA,NA
161,29.8,0.20704,1172.9,0,NA,NA
162,29.8,0.09472,1173.8,0,NA,NA
163,29.8,0.070783,1173.9,0,NA,NA
164,29.8,0.058954,1174,0,NA,NA
165,29.8,0.056004,1174,0,NA,NA
166,29.8,0.053457,1173.9,47.38,40.938,551.78
167,29.8,0.051229,1173.7,0,NA,NA
168,29.8,0.049571,1173.6,0,NA,NA
169,29.8,0.048064,1173.5,0,NA,NA
170,29.8,0.046686,1173.3,0,NA,NA
171,29.8,0.056465,1173.2,0,NA,NA
172,29.8,0.07704,1173,0,NA,NA
173,29.8,0.20704,1173,0,NA,NA
174,29.8,0.11738,1173,0,NA,NA
175,29.8,0.090599,1173,0,NA,NA
176,29.8,0.076454,1173,0,NA,NA
177,29.8,0.06737,1172.2,0,NA,NA
178,29.8,0.060906,1172.2,0,NA,NA
179,29.8,0.056004,1171.9,0,NA,NA
180,29.8,0.063065,1171.7,0,NA,NA
181,29.8,0.073713,1171.9,47.607,42.024,559.45
182,29.8,0.092591,1172.1,0,NA,NA
183,29.8,0.082269,1172,0,NA,NA
184,29.8,0.074774,1171.7,0,NA,NA
185,29.8,0.069013,1171.7,0,NA,NA
186,29.833,0.065111,1171.8,0,NA,NA
187,29.867,0.061803,1172,0,NA,NA
188,29.9,0.058954,1172.1,0,NA,NA
189,29.9,0.057669,1172.1,0,NA,NA
190,29.9,0.056465,1172.2,0,NA,NA
191,29.9,0.055334,1172.3,0,NA,NA
192,29.9,0.062425,1172.3,0,NA,NA
193,29.9,0.073199,1172.5,0,NA,NA
194,29.9,0.092591,1172.5,0,NA,NA
195,29.9,0.081557,1172.7,0,NA,NA
196,29.9,0.073713,1171.9,47.329,42.628,563.75
