"Seconds","AirT","gHa","Rabs","DLTemp","LTemp","Lwatts"
1,32.5,0.033295,1105.3,37.414,29.69,476.89
2,32.5,0.032873,1105.5,0,NA,NA
3,32.5,0.032466,1106.3,0,NA,NA
4,32.5,0.032873,1107.1,0,NA,NA
5,32.5,0.033295,1107.8,0,NA,NA
6,32.5,0.033734,1108.4,0,NA,NA
7,32.5,0.03344,1108.5,0,NA,NA
8,32.5,0.033153,1107.8,0,NA,NA
9,32.5,0.032873,1107.9,0,NA,NA
10,32.5,0.035108,1107.2,0,NA,NA
11,32.5,0.03787,1106.6,0,NA,NA
12,32.5,0.041408,1105.9,0,NA,NA
13,32.467,0.040346,1105.1,0,NA,NA
14,32.433,0.039362,1105.1,0,NA,NA
15,32.4,0.038446,1104.6,0,NA,NA
16,32.4,0.04236,1104.3,40.333,32.533,495.04
17,32.4,0.047778,1104.2,0,NA,NA
18,32.4,0.056004,1103.3,0,NA,NA
19,32.4,0.046686,1103.3,0,NA,NA
20,32.4,0.040867,1103.2,0,NA,NA
21,32.4,0.036792,1103.5,0,NA,NA
22,32.4,0.037661,1103.5,0,NA,NA
23,32.4,0.038594,1103.7,0,NA,NA
24,32.4,0.039601,1104,0,NA,NA
25,32.4,0.039927,1103.9,0,NA,NA
26,32.4,0.040261,1103.8,0,NA,NA
27,32.4,0.040604,1103.9,0,NA,NA
28,32.4,0.040604,1104.1,0,NA,NA
29,32.4,0.040604,1103.9,0,NA,NA
30,32.4,0.040604,1103.2,0,NA,NA
31,32.4,0.035164,1103.2,42.126,33.817,503.42
32,32.4,0.031452,1103.1,0,NA,NA
33,32.4,0.028711,1103.7,0,NA,NA
34,32.4,0.03094,1103.1,0,NA,NA
35,32.4,0.033784,1103.1,0,NA,NA
36,32.4,0.037592,1103.1,0,NA,NA
37,32.4,0.037119,1103.2,0,NA,NA
38,32.4,0.036663,1103.1,0,NA,NA
39,32.4,0.036224,1102.4,0,NA,NA
40,32.4,0.036041,1102.4,0,NA,NA
41,32.4,0.03586,1102.4,0,NA,NA
42,32.4,0.035682,1102.5,0,NA,NA
43,32.4,0.031371,1102.7,0,NA,NA
44,32.4,0.028321,1102.8,0,NA,NA
45,32.4,0.026016,1102.9,0,NA,NA
46,32.4,0.027612,1103.8,43.251,33.286,499.94
47,32.4,0.029544,1104,0,NA,NA
48,32.4,0.031947,1103.9,0,NA,NA
49,32.4,0.034831,1104.7,0,NA,NA
50,32.4,0.038669,1104.9,0,NA,NA
51,32.4,0.044141,1105.7,0,NA,NA
52,32.4,0.042861,1105.6,0,NA,NA
53,32.4,0.041687,1106.3,0,NA,NA
54,32.4,0.040604,1107.1,0,NA,NA
55,32.4,0.041316,1107,0,NA,NA
56,32.4,0.042067,1107.8,0,NA,NA
57,32.4,0.042861,1107.8,0,NA,NA
58,32.4,0.04604,1107.7,0,NA,NA
59,32.4,0.050051,1107.5,0,NA,NA
60,32.4,0.055334,1107.5,0,NA,NA
61,32.367,0.049729,1106.7,43.503,34.382,507.13
62,32.333,0.045543,1106.5,0,NA,NA
63,32.3,0.042262,1105.6,0,NA,NA
64,32.3,0.038083,1105.2,0,NA,NA
65,32.3,0.034941,1104.4,0,NA,NA
66,32.3,0.032466,1104.4,0,NA,NA
67,32.3,0.033391,1103.9,0,NA,NA
68,32.3,0.034401,1104,0,NA,NA
69,32.3,0.035507,1103.1,0,NA,NA
70,32.3,0.036727,1103.3,0,NA,NA
71,32.3,0.038083,1103.3,0,NA,NA
72,32.3,0.039601,1102.4,0,NA,NA
73,32.3,0.042262,1102.4,0,NA,NA
74,32.3,0.045543,1102.3,0,NA,NA
75,32.3,0.049729,1102.4,0,NA,NA
76,32.3,0.0415,1101.6,44.035,35.117,512
77,32.3,0.036348,1101.6,0,NA,NA
78,32.3,0.032736,1101.7,0,NA,NA
79,32.3,0.033012,1101.2,0,NA,NA
80,32.3,0.033295,1102.1,0,NA,NA
81,32.3,0.033586,1102.1,0,NA,NA
82,32.3,0.034996,1102.2,0,NA,NA
83,32.3,0.0366,1101.5,0,NA,NA
84,32.3,0.038446,1100.9,0,NA,NA
85,32.3,0.040431,1100.2,0,NA,NA
86,32.3,0.042759,1099.4,0,NA,NA
87,32.3,0.045543,1099.5,0,NA,NA
88,32.3,0.052494,1099,0,NA,NA
89,32.3,0.064063,1099.2,0,NA,NA
90,32.3,0.089651,1098.7,0,NA,NA
91,32.3,0.073199,1097.8,44.719,36.065,518.33
