"Seconds","AirT","gHa","Rabs","DLTemp","LTemp","Lwatts"
1,32.2,0.040604,1182.9,47.193,32.95,497.75
2,32.2,0.037185,1182.8,0,NA,NA
3,32.2,0.038155,1183,0,NA,NA
4,32.2,0.039205,1183,0,NA,NA
5,32.2,0.040346,1183.1,0,NA,NA
6,32.2,0.042067,1183.7,0,NA,NA
7,32.2,0.04403,1183.6,0,NA,NA
8,32.2,0.046295,1183.3,0,NA,NA
9,32.2,0.049413,1183,0,NA,NA
10,32.2,0.05326,1182.5,0,NA,NA
11,32.2,0.058173,1182.5,0,NA,NA
12,32.2,0.062112,1182.7,0,NA,NA
13,32.2,0.066977,1182.7,0,NA,NA
14,32.2,0.073199,1182.2,0,NA,NA
15,32.2,0.066211,1182.3,0,NA,NA
16,32.2,0.060906,1182.3,47.446,34.922,510.7
17,32.2,0.0567,1182,0,NA,NA
18,32.2,0.061201,1181.7,0,NA,NA
19,32.2,0.066977,1181.8,0,NA,NA
20,32.2,0.074774,1181.8,0,NA,NA
21,32.2,0.075322,1181.8,0,NA,NA
22,32.2,0.075882,1182,0,NA,NA
23,32.2,0.076454,1182.1,0,NA,NA
24,32.2,0.065472,1182,0,NA,NA
25,32.2,0.058173,1182.1,0,NA,NA
26,32.2,0.052873,1182.2,0,NA,NA
27,32.2,0.057919,1182.1,0,NA,NA
28,32.2,0.064756,1182.2,0,NA,NA
29,32.2,0.074774,1181.9,0,NA,NA
30,32.2,0.058954,1181.9,0,NA,NA
31,32.2,0.050214,1182,48.509,34.925,510.72
32,32.2,0.044479,1181.9,0,NA,NA
33,32.2,0.049889,1181.2,0,NA,NA
34,32.2,0.057919,1181.3,0,NA,NA
35,32.2,0.07172,1181.4,0,NA,NA
36,32.2,0.054686,1181.5,0,NA,NA
37,32.2,0.045914,1181.7,0,NA,NA
38,32.2,0.040346,1181.7,0,NA,NA
39,32.2,0.043067,1181.6,0,NA,NA
40,32.2,0.046424,1181.7,0,NA,NA
41,32.2,0.050714,1181.9,0,NA,NA
42,32.2,0.0453,1182.8,0,NA,NA
43,32.2,0.041316,1182.8,0,NA,NA
44,32.2,0.038227,1182.7,0,NA,NA
45,32.2,0.037387,1182,0,NA,NA
46,32.2,0.0366,1182.1,48.205,35.111,511.96
47,32.2,0.03586,1182.2,0,NA,NA
48,32.2,0.036792,1182.4,0,NA,NA
49,32.2,0.0378,1182.6,0,NA,NA
50,32.2,0.038896,1182.6,0,NA,NA
51,32.2,0.042659,1182.3,0,NA,NA
52,32.2,0.047778,1182.2,0,NA,NA
53,32.2,0.055334,1181.2,0,NA,NA
54,32.2,0.054061,1180.9,0,NA,NA
55,32.2,0.052873,1180.8,0,NA,NA
56,32.2,0.05176,1180.6,0,NA,NA
57,32.2,0.062112,1180.6,0,NA,NA
58,32.2,0.083,1180.4,0,NA,NA
59,32.2,0.1793,1180.4,0,NA,NA
60,32.2,0.062112,1180.4,0,NA,NA
61,32.2,0.0453,1180.1,46.611,34.706,509.27
62,32.2,0.037387,1179.9,0,NA,NA
63,32.2,0.038227,1179.6,0,NA,NA
64,32.2,0.039127,1179.5,0,NA,NA
65,32.2,0.040093,1179.5,0,NA,NA
66,32.2,0.036473,1180.5,0,NA,NA
67,32.2,0.033685,1180.6,0,NA,NA
68,32.2,0.031452,1180.6,0,NA,NA
69,32.167,0.033635,1181,0,NA,NA
70,32.133,0.036348,1181.8,0,NA,NA
71,32.1,0.039845,1182.1,0,NA,NA
72,32.1,0.039682,1181.5,0,NA,NA
73,32.1,0.039521,1181.3,0,NA,NA
74,32.1,0.039362,1181.3,0,NA,NA
75,32.1,0.04001,1180.9,0,NA,NA
76,32.1,0.040691,1180.9,44.929,33.907,504.01
77,32.1,0.041408,1180.9,0,NA,NA
78,32.1,0.036922,1181,0,NA,NA
79,32.1,0.033635,1181,0,NA,NA
80,32.1,0.031095,1181,0,NA,NA
81,32.1,0.03344,1181,0,NA,NA
82,32.1,0.036411,1181.1,0,NA,NA
83,32.1,0.040346,1181,0,NA,NA
84,32.1,0.039927,1181,0,NA,NA
85,32.1,0.039521,1181,0,NA,NA
86,32.1,0.039127,1181,0,NA,NA
87,32.1,0.039441,1181.2,0,NA,NA
88,32.1,0.039763,1181.1,0,NA,NA
89,32.1,0.040093,1181.5,0,NA,NA
90,32.1,0.034885,1181.3,0,NA,NA
91,32.1,0.031291,1180.4,43.871,32.975,497.92
