"Seconds","AirT","gHa","Rabs","DLTemp","LTemp","Lwatts"
1,28.9,0.058173,1161.4,43.025,31.584,488.93
2,28.9,0.052308,1161.5,0,NA,NA
3,28.933,0.047498,1161.5,0,NA,NA
4,28.967,0.04381,1160.7,0,NA,NA
5,29,0.040867,1161.7,0,NA,NA
6,29,0.046167,1161.7,0,NA,NA
7,29,0.054267,1161.4,0,NA,NA
8,29,0.069013,1161.4,0,NA,NA
9,29,0.072203,1161.1,0,NA,NA
10,29,0.075882,1161.7,0,NA,NA
11,29,0.080186,1161.7,0,NA,NA
12,29,0.070783,1161.7,0,NA,NA
13,29,0.064063,1161.5,0,NA,NA
14,29,0.058954,1161.5,0,NA,NA
15,29,0.056465,1161.6,0,NA,NA
16,29,0.054267,1161.6,42.473,31.906,491
17,29,0.052308,1161.7,0,NA,NA
18,29,0.05843,1162.8,0,NA,NA
19,29,0.06737,1162.9,0,NA,NA
20,29,0.082269,1163.6,0,NA,NA
21,29,0.07764,1164,0,NA,NA
22,29,0.073713,1163.8,0,NA,NA
23,29,0.070328,1164,0,NA,NA
24,29,0.063393,1163.9,0,NA,NA
25,29,0.058173,1163.7,0,NA,NA
26,29,0.054061,1163.7,0,NA,NA
27,29,0.059221,1163.6,0,NA,NA
28,29,0.066211,1163.3,0,NA,NA
29,29,0.076454,1164.4,0,NA,NA
30,29,0.074238,1164,0,NA,NA
31,29,0.072203,1164,44.843,33.506,501.38
32,29,0.070328,1163.7,0,NA,NA
33,29,0.064063,1163.6,0,NA,NA
34,29,0.059221,1164.1,0,NA,NA
35,29,0.055334,1164.3,0,NA,NA
36,29,0.049571,1164.1,0,NA,NA
37,29,0.0453,1164.4,0,NA,NA
38,29,0.041971,1165.3,0,NA,NA
39,29,0.04403,1165.6,0,NA,NA
40,29,0.046424,1165.6,0,NA,NA
41,29,0.049258,1165.6,0,NA,NA
42,29,0.046424,1166.4,0,NA,NA
43,29,0.04403,1166.6,0,NA,NA
44,29,0.041971,1166.5,0,NA,NA
45,29,0.044825,1165.6,0,NA,NA
46,29,0.048354,1165.7,44.58,32.213,492.98
47,29,0.052873,1165.6,0,NA,NA
48,29,0.0567,1165.5,0,NA,NA
49,29,0.0615,1165.8,0,NA,NA
50,29,0.067769,1165.4,0,NA,NA
51,29,0.078253,1165.7,0,NA,NA
52,29,0.09584,1166,0,NA,NA
53,29,0.13554,1165.7,0,NA,NA
54,29,0.072203,1165.9,0,NA,NA
55,29,0.055115,1165.2,0,NA,NA
56,29,0.046295,1165.4,0,NA,NA
57,29,0.047087,1166.1,0,NA,NA
58,29,0.04792,1166.3,0,NA,NA
59,29,0.0488,1166.4,0,NA,NA
60,29,0.049889,1166.5,0,NA,NA
61,29,0.051056,1167.2,44.567,33.085,498.63
62,29,0.052308,1167.2,0,NA,NA
63,29,0.060615,1167.1,0,NA,NA
64,29,0.074774,1167,0,NA,NA
65,29,0.10812,1166.8,0,NA,NA
66,29,0.092591,1166.6,0,NA,NA
67,29,0.082269,1165.9,0,NA,NA
68,29,0.074774,1165.8,0,NA,NA
69,29,0.072203,1165.8,0,NA,NA
70,29,0.069881,1165.7,0,NA,NA
71,29,0.067769,1165.6,0,NA,NA
72,29,0.059767,1166.1,0,NA,NA
73,29,0.054061,1166,0,NA,NA
74,29,0.049729,1166,0,NA,NA
75,29,0.053656,1166,0,NA,NA
76,29,0.05869,1165.8,45.401,33.769,503.1
77,29,0.065472,1165.9,0,NA,NA
78,29,0.068591,1166.1,0,NA,NA
79,29,0.072203,1166.1,0,NA,NA
80,29,0.076454,1166,0,NA,NA
81,29,0.07764,1166.1,0,NA,NA
82,29,0.078882,1166.1,0,NA,NA
83,29,0.080186,1166,0,NA,NA
84,29,0.073199,1166.1,0,NA,NA
85,29,0.067769,1166.1,0,NA,NA
86,29,0.063393,1166.9,0,NA,NA
87,29,0.066977,1167,0,NA,NA
88,29,0.071247,1166.9,0,NA,NA
89,29,0.076454,1166.7,0,NA,NA
90,29,0.073199,1166.5,0,NA,NA
91,29,0.070328,1166.2,45.458,33.477,501.19
92,29,0.067769,1166.2,0,NA,NA
93,29.033,0.066591,1166.2,0,NA,NA
94,29.067,0.065472,1166.2,0,NA,NA
95,29.1,0.064407,1166.3,0,NA,NA
96,29.1,0.063065,1166.2,0,NA,NA
97,29.1,0.061803,1166.2,0,NA,NA
98,29.1,0.060615,1166.4,0,NA,NA
99,29.1,0.063725,1166.4,0,NA,NA
100,29.1,0.06737,1167.1,0,NA,NA
101,29.1,0.07172,1167.3,0,NA,NA
102,29.1,0.075322,1167.2,0,NA,NA
103,29.1,0.079526,1166.6,0,NA,NA
104,29.1,0.084523,1166.8,0,NA,NA
105,29.1,0.087839,1166.9,0,NA,NA
106,29.1,0.091579,1167.1,45.84,34.283,506.48
107,29.1,0.09584,1167,0,NA,NA
108,29.1,0.070328,1167.1,0,NA,NA
109,29.1,0.058173,1166.7,0,NA,NA
110,29.1,0.050714,1167.4,0,NA,NA
111,29.1,0.051229,1167.5,0,NA,NA
112,29.1,0.05176,1167.2,0,NA,NA
113,29.1,0.052308,1167.3,0,NA,NA
114,29.1,0.056004,1167.5,0,NA,NA
115,29.1,0.060615,1167.6,0,NA,NA
116,29.1,0.066591,1167.6,0,NA,NA
117,29.1,0.069881,1167.6,0,NA,NA
118,29.1,0.073713,1167.8,0,NA,NA
119,29.1,0.078253,1167.9,0,NA,NA
120,29.1,0.063725,1167.9,0,NA,NA
121,29.1,0.055115,1168.3,45.833,34.127,505.45
122,29.1,0.049258,1169,0,NA,NA
123,29.1,0.051229,1169.2,0,NA,NA
124,29.1,0.053457,1169.3,0,NA,NA
125,29.1,0.056004,1169.2,0,NA,NA
126,29.1,0.0615,1169.4,0,NA,NA
127,29.1,0.069013,1169.6,0,NA,NA
128,29.1,0.080186,1169.5,0,NA,NA
129,29.1,0.060615,1169.6,0,NA,NA
